DSL,API,Attempts
"method [packagePrivate] should declaredIn class [(packagename ""packageIdentifier1"")]","methods().that().arePackagePrivate().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[public (haveNameMatching ""get"")] should declaredIn class[(packagename ""packageIdentifier1"")]","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [private final] should not declaredIn class [(packagename ""packageIdentifier1"")]","noMethods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [public static (packagename ""packageIdentifier2"")] should not declaredIn class [(packagename ""packageIdentifier1"")]","noMethods().that().arePublic().and().haveModifier(JavaModifier.STATIC).should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [public static (haveNameMatching ""X1"")] should declaredIn class [(packagename ""packageIdentifier1"")]","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [protected final (haveNameMatching ""X1"")] should declaredIn class [(packagename ""packageIdentifier1"")]","methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
method [public] should declaredIn class [public],methods().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
method[private] should declaredIn class[private];,methods().that().arePrivate().should().beDeclaredInClassesThat().arePrivate(),0
method [protected] should declaredIn class [protected];,methods().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
method [final] should not declaredIn class [final],noMethods().that().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().haveModifier(JavaModifier.FINAL),0
method [packagePrivate] should declaredIn class [packagePrivate],methods().that().arePackagePrivate().should().beDeclaredInClassesThat().arePackagePrivate(),0
"method [public (haveNameMatching ""get"")] should declaredIn class [final]","methods().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().haveModifier(JavaModifier.FINAL)",0
method [private final] should declaredIn class [packagePrivate],methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().beDeclaredInClassesThat().arePackagePrivate(),0
"method [public static (packagename ""packageIdentifier"")] should not declaredIn class [public static]","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().notBeDeclaredInClassesThat().arePublic().andShould().notBeDeclaredInClassesThat().haveModifier(JavaModifie",0
"method [public static (haveNameMatching ""regex"")] should declaredIn class [public (packagename ""packageIdentifier1"")]","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method[protected final (haveNameMatching ""X1""] should declaredIn class [static(packagename ""packageIdentifier1""]","methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""X1"").should().beDeclaredInClassesThat().haveModifier(JavaModifier.STATIC).andShould().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
"method [public] should beAnnotatedWith ""mypackage.SpecifiedAnnotation"";","methods().that().arePublic().should().beAnnotatedWith(""mypackage.SpecifiedAnnotation"")",1
Trains Failed,Trains Failed,Trains Failed
"method[protected] should haveParameterTypes(""int"")","methods().that().areProtected().should().haveRawParameterTypes(""int"")",0
"method [final] should haveFullNameMatching ""String""","methods().that().haveModifier(JavaModifier.FINAL).should().haveFullNameMatching("".*String.*"")",0
"method [packagePrivate] should haveNameEndingWith ""String""","methods().that().arePackagePrivate().should().haveNameEndingWith(""String"")",0
"method[public (haveNameMatching ""get"")] should haveNameMatching ""String""","methods().that().arePublic().and().haveNameMatching(""get.*"").should().haveNameMatching("".*String.*"")",0
"method [private final] should haveRawReturnType ""returnType""","methods().that().arePrivate().and().haveModifier(JavaModifier.FINAL).should().haveRawReturnType(""returnType"")",0
"method[public static (packagename ""packageIdentifier2"")] should haveParameterTypes ""packageIdentifier.CustomType.class.getName""","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"").should().haveRawParameterTypes(packageIdentifier.CustomType.class.getName)",0
"method[public static (haveNameMatching ""String1"")] should haveFullName ""packageIdentifier.ValidMethod.String1""","methods().that().arePublic().and().haveModifier(JavaModifier.STATIC).and().haveNameMatching(""String1"").should().haveFullName(""packageIdentifier.ValidMethod.String1"")",0
"method [protected final (haveNameMatching ""String1"")] should haveNameContaining ""String2""","methods().that().areProtected().and().haveModifier(JavaModifier.FINAL).and().haveNameMatching(""String1"").should().haveNameContaining(""String2"")",0
method [static] should BePublic;,methods().that().haveModifier(JavaModifier.STATIC).should().bePublic(),0
method [final] should BeStatic;,methods().that().haveModifier(JavaModifier.FINAL).should().beStatic(),0
method [private] should BeProtected;,methods().that().arePrivate().should().beProtected(),0
"method[public(packagename ""X1"")] should BePackagePrivate;","methods().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""X1"").should().bePackagePrivate()",0
"method [ (haveNameMatching ""get"") ] should BePublic;","methods().that().haveNameMatching(""get"").should().bePublic()",0
"codeUnit [public] should declaredIn class (packagename ""packageIdentifier"")","codeUnits().that().arePublic().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [private] should declaredIn class (implement ""packageIdentifier.typeName"")","codeUnits().that().arePrivate().should().beDeclaredInClassesThat().implement(""packageIdentifier.typeName"")",0
"codeUnit [protected] should declaredIn class [(packagename ""packageIdentifier"")]","codeUnits().that().areProtected().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [private] should not declaredIn class [(packagename ""packageIdentifier"")]","noCodeUnits().that().arePrivate().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [packagePrivate] should declaredIn class [(packagename ""packageIdentifier"")]","codeUnits().that().arePackagePrivate().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [public (haveNameMatching ""Regex"")] should declaredIn class [(packagename ""packageIdentifier"")]","codeUnits().that().arePublic().and().haveNameMatching(""Regex"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [private] should not declaredIn class [(packagename ""packageIdentifier"")]","noCodeUnits().that().arePrivate().should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"codeUnit [public (packagename ""packageIdentifier1"")] should declaredIn class [(packagename ""packageIdentifier2"")]","""codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")""",0
"codeUnit [(haveNameMatching ""Regex"")] should declaredIn class (implement ""packageIdentifier.typeName"")","codeUnits().that().haveNameMatching(\"".*regex.*\"").should().beDeclaredInClassesThat().implement(\""packageIdentifier.typeName\"")",0
"codeUnit [(haveNameMatching ""Regex"")] should declaredIn class [(packagename ""packageIdentifier"")]","codeUnits().that().haveNameMatching(\"".*regex.*\"").should().beDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"")",0
codeUnit [public] should declaredIn class [public],codeUnits().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
codeUnit [private] should declaredIn class [static];,codeUnits().that().arePrivate().should().beDeclaredInClassesThat().haveModifier(JavaModifier.STATIC),0
codeUnit [protected] should declaredIn class [protected],codeUnits().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
codeUnit [private] should not declaredIn class [packagePrivate],noCodeUnits().that().arePrivate().should().beDeclaredInClassesThat().arePackagePrivate(),0
codeUnit [packagePrivate] should declaredIn class [final],codeUnits().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"codeUnit [public (haveNameMatching ""get"")] should declaredIn class [private]","codeUnits().that().arePublic().and().haveNameMatching(\"".*get.*\"").should().beDeclaredInClassesThat().arePrivate()",0
"codeUnit [private] should not declaredIn class [(packagename ""packageIdentifier"")]","noCodeUnits().that().arePrivate().should().beDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"")",0
"codeUnit [public (packagename ""packageIdentifier1"")] should declaredIn class [public (packagename ""packageIdentifier2"")]","codeUnits().that().arePublic().and().areDeclaredInClassesThat()resideInAPackage(\""packageIdentifier1\"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().resideInAPackage(\""packageIdentifier2\"")",0
"codeUnit [(haveNameMatching ""Regex"")] should declaredIn class [public (implement ""packageIdentifier.typeName"")];","codeUnits().that().haveNameMatching(\"".*regex.*\"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().implement(\""packageIdentifier.typeName\"")",0
"codeUnit [ (haveNameMatching ""Regex"") ] should declaredIn class [static (packagename ""packageIdentifier"")]","codeUnits().that().haveNameMatching(\"".*regex.*\"").should().beDeclaredInClassesThat().haveModifier(JavaModifier.STATIC).andShould().beDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"")",0
"codeUnit [private] should beAnnotatedWith ""packageIdentifier.MyAnnotation""","codeUnits().that().arePrivate().should().beAnnotatedWith(\""packageIdentifier.MyAnnotation\"")",0
"codeUnit [protected] should haveFullNameMatching ""regex"" ;","codeUnits().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,codeUnits().that().areProtected().should().haveModifier(JavaModifier.STATIC),Trains Failed
"codeUnit [packagePrivate] should haveNameMatching ""regex""","codeUnits().that().arePackagePrivate().should().haveNameMatching(\"".*regex.*\"")",0
"codeUnit [public] should haveNameEndingWith ""regex"" ;","codeUnits().that().arePublic().should().haveNameMatching(\"".*regex.*\"")",0
"codeUnit [private] should not declaredIn class [(packagename ""packageIdentifier"")]","noCodeUnits().that().arePrivate().should().beDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"")",0
"codeUnit [public] should haveNameStartingWith ""regex"" ;","codeUnits().that().arePublic().should().haveNameStartingWith(""regex"")",0
"codeUnit [public] should haveRawReturnType ""packageIdentifier.typeName""","codeUnits().that().arePublic().should().haveRawReturnType(\""packageIdentifier.typeName\"")",0
codeUnit [private] should haveParameterTypes 'packageIdentifier.typeName',"codeUnits().that().arePrivate().should().haveRawParameterTypes(""packageIdentifier.typeName"")",0
"codeUnit [private] should declareThrowableOfType ""packageIdentifier.typeName""","codeUnits().that().arePrivate().should().declareThrowableOfType(""packageIdentifier.typeName"")",0
"codeUnit [static (packagename ""packageIdentifier"")] should BePublic;","codeUnits().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(\""packageIdentifier\"").should().bePublic()",0
"codeUnit [final (packagename ""packageIdentifier"")] should BePrivate;","codeUnits().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"codeUnit [private (packagename ""packageIdentifier"")] should BeProtected;","codeUnits().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
"codeUnit[public(packagename ""packageIdentifier"")] should BePackagePrivate;","codeUnits().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePackagePrivate()",0
"codeUnit [(haveNameMatching ""regex"")] should BePublic;","codeUnits().that().haveNameMatching(""regex"").should().bePublic()",0
"field [public] should declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [private] should declaredIn class (implement ""typeName"")","fields().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"field [protected] should declaredIn class [(packagename ""packageIdentifier"")]","fields().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [private] should not declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [packagePrivate] should declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePackagePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [public (haveNameMatching ""get"")] should declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [private] should not declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [public (packagename ""packageIdentifier1"")] should declaredIn class [(packagename ""packageIdentifier2"")]","fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"field [(haveNameMatching ""regex"")] should declaredIn class (implement ""typeName1"")","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName1"")",0
"field [haveNameMatching ""regex""] should declaredIn class [(packagename ""packageIdentifier"")]","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
field [public] should declaredIn class [public],fields().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
field [private] should declaredIn class [static],fields().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
field [protected] should declaredIn class [protected],fields().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
field [private] should not declaredIn class [packagePrivate],fields().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
field[packagePrivate] should declaredIn class[final],fields().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"field [public (haveNameMatching ""get"")] should declaredIn class [private]","fields().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
"field [private] should not declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [public (packagename ""packageIdentifier1"")] should declaredIn class [public (packagename ""packageIdentifier2"")]","fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"field [(haveNameMatching ""regex"")] should declaredIn class [public (implement ""typeName"")]","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"field[(haveNameMatching ""regex"")] should declaredIn class[static (packagename ""packageIdentifier"")]","fields().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [private] should beAnnotatedWith ""annotatedTypeName""","fields().that().arePrivate().should().beAnnotatedWith(""annotatedTypeName"")",0
"field [protected] should haveFullNameMatching ""regex"" ;","fields().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"field [packagePrivate] should haveNameMatching ""regex""","fields().that().arePackagePrivate().should().haveNameMatching(""regex"")",0
"field [public] should haveNameEndingWith ""regex"" ;","fields().that().arePublic().should().haveNameEndingWith(""regex"")",0
"field [private] should not declaredIn class [(packagename ""packageIdentifier"")]","fields().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"field [public] should haveNameStartingWith ""typeName"" ;","fields().that().arePublic().should().haveNameStartingWith(""typeName"")",0
Trains Failed,Trains Failed,Trains Failed
Trains Failed,Trains Failed,Trains Failed
"field [private] should declareThrowableOfType ""typeName"" ;","fields().that().arePrivate().should().declareThrowableOfType(""typeName"")",0
"field [static (packagename ""packageIdentifier"")] should BePublic;","fields().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePublic()",0
"field [final (packagename ""packageIdentifier"")] should BePrivate;","fields().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"field [private (packagename ""packageIdentifier"")] should BeProtected;","fields().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
"field[public(packagename ""packageIdentifier"")] should BePackagePrivate;","fields().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePackagePrivate()",0
"field [(haveNameMatching ""regex"")] should BeFinal;","fields().that().haveNameMatching(""regex"").should().beFinal()",0
"member [public] should declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePublic().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [private] should declaredIn class (implement ""typeName"")","members().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"member [protected] should declaredIn class (packagename ""packageIdentifier"")","members().that().areProtected().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [private] should declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [packagePrivate] should declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePackagePrivate().should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member[public (haveNameMatching ""get"")] should declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [private] should not declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member[public(packagename ""packageIdentifier1"")] should declaredIn class[(packagename ""packageIdentifier2"")]","members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"member [haveNameMatching ""regex""] should declaredIn class [implement ""typeName""];","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"member [haveNameMatching ""regex""] should declaredIn class [(packagename ""packageIdentifier1"")]","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"")",0
member [public] should declaredIn class [public],members().that().arePublic().should().beDeclaredInClassesThat().arePublic(),0
member [private] should declaredIn class [static];,members().that().arePrivate().should().beDeclaredInClassesThat().areStatic(),0
member [protected] should declaredIn class [protected];,members().that().areProtected().should().beDeclaredInClassesThat().areProtected(),0
member [private] should not declaredIn class [packagePrivate],members().that().arePrivate().should().notBeDeclaredInClassesThat().arePackagePrivate(),0
member [packagePrivate] should declaredIn class [final],members().that().arePackagePrivate().should().beDeclaredInClassesThat().areFinal(),0
"member[public (haveNameMatching ""get"")] should declaredIn class[private]","members().that().arePublic().and().haveNameMatching(""get"").should().beDeclaredInClassesThat().arePrivate()",0
"member [private] should not declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [public (packagename ""packageIdentifier1"")] should declaredIn class [public (packagename ""packageIdentifier2"")]","members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier1"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier2"")",0
"member [haveNameMatching ""regex""] should declaredIn class [public (implement ""typeName"")]","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().arePublic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().implement(""typeName"")",0
"member [(haveNameMatching ""regex"")] should declaredIn class [static (packagename ""packageIdentifier"")]","members().that().haveNameMatching(""regex"").should().beDeclaredInClassesThat().areStatic().andShould().beDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [private] should beAnnotatedWith ""annotatedTypeName""","members().that().arePrivate().should().beAnnotatedWith(""annotatedTypeName"")",0
"member [protected] should haveFullNameMatching ""regex""","members().that().areProtected().should().haveFullNameMatching(""regex"")",0
Trains Failed,Trains Failed,Trains Failed
"member[packagePrivate] should haveNameMatching ""regex""","members().that().arePackagePrivate().should().haveNameMatching(""regex"")",0
"member [public] should haveNameEndingWith ""regex"" ;","members().that().arePublic().should().haveNameEndingWith(""regex"")",0
"member [private] should not declaredIn class [(packagename ""packageIdentifier"")]","members().that().arePrivate().should().notBeDeclaredInClassesThat().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"")",0
"member [public] should haveNameStartingWith ""regex"" ;","members().that().arePublic().should().haveNameStartingWith(""regex"")",1
"member [private] should haveNameStartingWith ""regex"";","members().that().arePrivate().should().haveNameStartingWith(""regex"")",1
"member [public] should haveNameStartingWith ""regex"" ;","members().that().arePublic().should().haveNameStartingWith(""regex"")",0
"member [private] should declareThrowableOfType ""typeName""","members().that().arePrivate().should().declareThrowableOfType(""typeName"")",0
"member [static (packagename ""packageIdentifier"")] should BePublic;","members().that().haveModifier(JavaModifier.STATIC).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePublic()",0
"member [final (packagename ""packageIdentifier"")] should BePrivate;","members().that().haveModifier(JavaModifier.FINAL).and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePrivate()",0
"member [private (packagename ""packageIdentifier"")] should BeProtected;","members().that().arePrivate().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().beProtected()",0
"member[public(packagename ""packageIdentifier"")] should BePackagePrivate;","members().that().arePublic().and().areDeclaredInClassesThat().resideInAPackage(""packageIdentifier"").should().bePackagePrivate()",0
"member [(haveNameMatching ""regex"")] should BePublic;","members().that().haveNameMatching(""regex"").should().bePublic()",0
