member [(haveNameMatching ¡°regex¡±)] should declaredIn class [public(implement ¡°typeName¡±)],Members with names matching with 'regex' should be declared in public classes implementing 'typeName'.,Member matching with regex in public class implementing typeName.,A member with a name matching the specified regex should be declared in a public class implementing the specified type.
member [(haveNameMatching ¡°regex¡±)] should declaredIn class [static(packagename ¡°packageIdentifier¡±)],Members with names matching with 'regex' should be declared in static classes in package 'packageIdentifier'.,Member matching with regex in static class in packageIdentifier.,A member with a name matching the specified regex should be declared in a static class within the specified package.
member [private] should beAnnotatedWith (¡°annotatedTypeName¡±),Private members should be annotated with 'annotatedTypeName'.,Private member annotated with annotatedTypeName.,A private member should be annotated with the specified annotation type.
member [protected] should haveFullNameMatching (¡°regex¡±),Protected members should have full names matching the regex.,Protected member with full name matching regex.,A protected member should have a full name matching the specified regex.
member [private] should haveModifier(¡°JavaModifier¡±),Private members should have the modifier 'JavaModifier'.,Private member with JavaModifier.,A private member should have the specified Java modifier.
member [packagePrivate] should haveNameMatching (¡°regex¡±),Package-private members should have names matching the regex.,Package-private member with name matching regex.,A package-private member should have a name matching the specified regex.
member [public] should haveNameEndingWith (¡°regex¡±),Public members should have names ending with the regex.,Public member with name ending with regex.,A public member should have a name ending with the specified regex.
member [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private members should not be declared in classes in package 'packageIdentifier'.,Private member not in packageIdentifier.,A private member should not be declared in a class within the specified package.
member [public] should haveNameStartingWith (¡°regex¡±),Public members should have names starting with the regex.,Public member with name starting with regex.,A public member should have a name starting with the specified regex.
member [private] should haveNameStartingWith (¡°regex¡±),Private members should have names starting with the regex.,Private member with name starting with regex.,A private member should have a name starting with the specified regex.
member [public] should haveNameStartingWith (¡°regex¡±),Public members should have names starting with the regex.,Public member with name starting with regex.,A public member should have a name starting with the specified regex.
member [private] should declareThrowableOfType (¡°typeName¡±),Private members should declare throwable types of 'typeName'.,Private member declaring throwable of type typeName.,A private member should declare a throwable of the specified type.
member [static(packagename ¡°packageIdentifier¡±)] should BePublic.,Static members in package 'packageIdentifier' should be public.,Static member in packageIdentifier should be public.,A static member in the specified package should be public.
member [final(packagename ¡°packageIdentifier¡±)] should BePrivate.,Final members in package 'packageIdentifier' should be private.,Final member in packageIdentifier should be private.,A final member in the specified package should be private.
member [private(packagename ¡°packageIdentifier¡±)] should BeProtected.,Private members in package 'packageIdentifier' should be protected.,Private member in packageIdentifier should be protected.,A private member in the specified package should be protected.
member [public(packagename ¡°packageIdentifier¡±)] should BePackagePrivate.,Public members in package 'packageIdentifier' should be package-private.,Public member in packageIdentifier should be package-private.,A public member in the specified package should be package-private.
member [(matches (¡°regex¡±)] should BePublic.,Members matching the regex should be public.,Member matching regex should be public.,A member matching the specified regex should be public.
