constructor [public (packagename ¡°packageIdentifier1¡±)] should declaredIn class [public(packagename ¡°packageIdentifier2¡±)],Public constructors in package 'packageIdentifier1' should be declared in public classes in package 'packageIdentifier2'.,Public constructor from packageIdentifier1 in packageIdentifier2 public class.,A public constructor in the specified package should be declared in a public class within another specified package.
constructor [(haveNamematching ¡°regex¡±)] should declaredIn class [public(implement ¡°typeName¡±)],Constructors with names matching with 'regex' should be declared in public classes implementing 'typeName'.,Constructor matching with regex in public class implementing typeName.,A constructor with a name matching the specified regex should be declared in a public class implementing the specified type.
constructor [(haveNamematching ¡°regex¡±)] should declaredIn class [static(packagename ¡°packageIdentifier¡±)],Constructors with names matching with 'regex' should be declared in static classes in package 'packageIdentifier'.,Constructor matching with regex in static class in packageIdentifier.,A constructor with a name matching the specified regex should be declared in a static class within the specified package.
constructor [private] should beAnnotatedWith (¡°annotatedTypeName¡±),Private constructors should be annotated with 'annotatedTypeName'.,Private constructor annotated with annotatedTypeName.,A private constructor should be annotated with the specified annotation type.
constructor [protected] should haveFullNameMatching (¡°regex¡±),Protected constructors should have full names matching the regex.,Protected constructor with full name matching regex.,A protected constructor should have a full name matching the specified regex.
constructor [private] should haveModifier(¡°JavaModifier¡±),Private constructors should have the modifier 'JavaModifier'.,Private constructor with JavaModifier.,A private constructor should have the specified Java modifier.
constructor [packagePrivate] should haveNameMatching (¡°regex¡±),Package-private constructors should have names matching the regex.,Package-private constructor with name matching regex.,A package-private constructor should have a name matching the specified regex.
constructor [public] should haveNameEndingWith (¡°regex¡±),Public constructors should have names ending with the regex.,Public constructor with name ending with regex.,A public constructor should have a name ending with the specified regex.
constructor [private] should not declaredIn class (packagename ¡°packageIdentifier¡±),Private constructors should not be declared in classes in package 'packageIdentifier'.,Private constructor not in packageIdentifier.,A private constructor should not be declared in a class within the specified package.
constructor [public] should haveNameStartingWith (¡°regex¡±),Public constructors should have names starting with the regex.,Public constructor with name starting with regex.,A public constructor should have a name starting with the specified regex.
constructor [private] should haveNameStartingWith (¡°regex¡±),Private constructors should have names starting with the regex.,Private constructor with name starting with regex.,A private constructor should have a name starting with the specified regex.
constructor [public] should haveNameStartingWith (¡°regex¡±),Public constructors should have names starting with the regex.,Public constructor with name starting with regex.,A public constructor should have a name starting with the specified regex.
constructor [private] should declareThrowableOfType (¡°typeName¡±),Private constructors should declare throwable types of 'typeName'.,Private constructor declaring throwable of type typeName.,A private constructor should declare a throwable of the specified type.
constructor [static(packagename ¡°packageIdentifier¡±)] should BePublic.,Static constructors in package 'packageIdentifier' should be public.,Static constructor in packageIdentifier should be public.,A static constructor in the specified package should be public.
constructor [final(packagename ¡°packageIdentifier¡±)] should BePrivate.,Final constructors in package 'packageIdentifier' should be private.,Final constructor in packageIdentifier should be private.,A final constructor in the specified package should be private.
member [private(packagename ¡°packageIdentifier¡±)] should BeProtected.,Private members in package 'packageIdentifier' should be protected.,Private member in packageIdentifier should be protected.,A private member in the specified package should be protected.
constructor [public(packagename ¡°packageIdentifier¡±)] should BePackagePrivate.,Public constructors in package 'packageIdentifier' should be package-private.,Public constructor in packageIdentifier should be package-private.,A public constructor in the specified package should be package-private.
constructor [(matches (¡°regex¡±)] should BePublic.,Constructors matching the regex should be public.,Constructor matching regex should be public.,A constructor matching the specified regex should be public.
